--------------+----------------------------------------------
 Host IP      | 127.0.1.1
 PyTorch      | 2.4.0a0+git4451b0e
 Torch-SDAA   | 2.0.0
--------------+----------------------------------------------
 SDAA Driver  | 2.2.0 (N/A)
 SDAA Runtime | 2.0.0 (/opt/tecoai/lib64/libsdaart.so)
 SDPTI        | 1.3.1 (/opt/tecoai/lib64/libsdpti.so)
 TecoDNN      | 2.0.0 (/opt/tecoai/lib64/libtecodnn.so)
 TecoBLAS     | 2.0.0 (/opt/tecoai/lib64/libtecoblas.so)
 CustomDNN    | 1.22.0 (/opt/tecoai/lib64/libtecodnn_ext.so)
 TecoRAND     | 1.8.0 (/opt/tecoai/lib64/libtecorand.so)
 TCCL         | 1.21.0 (/opt/tecoai/lib64/libtccl.so)
--------------+----------------------------------------------
train Pnet argument:
Namespace(annotation_file='/data/application/huangyun/dface/anno_store/imglist_anno_12.txt', model_store_path='/data/application/huangyun/dface/model_store', end_epoch=10, frequent=1, lr=0.01, batch_size=512, use_cuda=True, **{'': None})
append flipped images to imdb 1498328
2025-09-03 06:47:46.580194 : Epoch: 1, Step: 86, accuracy: 0.7911392450332642, det loss: 0.5183597207069397, bbox loss: 0.20559215545654297, all_loss: 0.6211557984352112, lr:0.01 
2025-09-03 06:47:46.601780 : Epoch: 1, Step: 87, accuracy: 0.778124988079071, det loss: 0.5560641288757324, bbox loss: 0.17923669517040253, all_loss: 0.6456824541091919, lr:0.01 
2025-09-03 06:47:46.623754 : Epoch: 1, Step: 88, accuracy: 0.7956656217575073, det loss: 0.5134087204933167, bbox loss: 0.18159233033657074, all_loss: 0.6042048931121826, lr:0.01 
2025-09-03 06:47:46.646554 : Epoch: 1, Step: 89, accuracy: 0.8039215803146362, det loss: 0.5080080628395081, bbox loss: 0.17984774708747864, all_loss: 0.5979319214820862, lr:0.01 
2025-09-03 06:47:46.668364 : Epoch: 1, Step: 90, accuracy: 0.765625, det loss: 0.5413389205932617, bbox loss: 0.16352273523807526, all_loss: 0.6231002807617188, lr:0.01 
2025-09-03 06:47:46.690270 : Epoch: 1, Step: 91, accuracy: 0.7764350175857544, det loss: 0.5402961373329163, bbox loss: 0.15504147112369537, all_loss: 0.6178168654441833, lr:0.01 
2025-09-03 06:47:46.712021 : Epoch: 1, Step: 92, accuracy: 0.7987987995147705, det loss: 0.5021836757659912, bbox loss: 0.17536991834640503, all_loss: 0.5898686647415161, lr:0.01 
2025-09-03 06:47:46.733797 : Epoch: 1, Step: 93, accuracy: 0.8048779964447021, det loss: 0.49797382950782776, bbox loss: 0.17701619863510132, all_loss: 0.5864819288253784, lr:0.01 
2025-09-03 06:47:46.755535 : Epoch: 1, Step: 94, accuracy: 0.7594937086105347, det loss: 0.538912832736969, bbox loss: 0.1788223832845688, all_loss: 0.628324031829834, lr:0.01 
2025-09-03 06:47:46.778567 : Epoch: 1, Step: 95, accuracy: 0.8095238208770752, det loss: 0.4967673122882843, bbox loss: 0.16155575215816498, all_loss: 0.577545166015625, lr:0.01 
2025-09-03 06:47:46.800508 : Epoch: 1, Step: 96, accuracy: 0.7445482611656189, det loss: 0.5749298334121704, bbox loss: 0.1696818321943283, all_loss: 0.6597707271575928, lr:0.01 
2025-09-03 06:47:46.822349 : Epoch: 1, Step: 97, accuracy: 0.7777777910232544, det loss: 0.5408467650413513, bbox loss: 0.15134938061237335, all_loss: 0.6165214776992798, lr:0.01 
2025-09-03 06:47:46.844168 : Epoch: 1, Step: 98, accuracy: 0.8079267740249634, det loss: 0.5068023204803467, bbox loss: 0.14847679436206818, all_loss: 0.5810407400131226, lr:0.01 
2025-09-03 06:47:46.866006 : Epoch: 1, Step: 99, accuracy: 0.758823573589325, det loss: 0.552323579788208, bbox loss: 0.16846498847007751, all_loss: 0.636556088924408, lr:0.01 
